block,function,text,type,dynamic,full_text
8,0,load,0,"[0, 0]","['%32 = load i32, i32* %5, align 4']"
8,0,i32*,1,,['i32* %5']
8,0,sext,0,"[0, 0]",['%33 = sext i32 %32 to i64']
8,0,i32,1,,['i32 %32']
8,0,getelementptr,0,"[0, 0]","['%34 = getelementptr inbounds [10 x [64 x float]], [10 x [64 x float]]* %31, i64 0, i64 %33']"
8,0,[10 x [64 x float]]*,1,,['[10 x [64 x float]]* %31']
8,0,i64,1,,['i64 %33']
8,0,load,0,"[0, 0]","['%35 = load i32, i32* %6, align 4']"
8,0,i32*,1,,['i32* %6']
8,0,sext,0,"[0, 0]",['%36 = sext i32 %35 to i64']
8,0,i32,1,,['i32 %35']
8,0,getelementptr,0,"[0, 0]","['%37 = getelementptr inbounds [64 x float], [64 x float]* %34, i64 0, i64 %36']"
8,0,[64 x float]*,1,,['[64 x float]* %34']
8,0,i64,1,,['i64 %36']
8,0,store,0,"[0, 0]","['store float 0.000000e+00, float* %37, align 4']"
8,0,float*,1,,['float* %37']
8,0,store,0,"[0, 0]","['store i32 0, i32* %7, align 4']"
8,0,i32*,1,,['i32* %7']
8,0,br,0,"[0, 0]",['br label %38']
9,0,load,0,"[0, 0]","['%39 = load i32, i32* %7, align 4']"
9,0,i32*,1,,['i32* %7']
9,0,icmp,0,"[0, 0]","['%40 = icmp slt i32 %39, 3']"
9,0,i32,1,,['i32 %39']
9,0,br,0,"[0, 0]","['br i1 %40, label %41, label %108']"
9,0,i1,1,,['i1 %40']
10,0,store,0,"[0, 0]","['store i32 0, i32* %8, align 4']"
10,0,i32*,1,,['i32* %8']
10,0,br,0,"[0, 0]",['br label %42']
11,0,load,0,"[0, 0]","['%43 = load i32, i32* %8, align 4']"
11,0,i32*,1,,['i32* %8']
11,0,icmp,0,"[0, 0]","['%44 = icmp slt i32 %43, 3']"
11,0,i32,1,,['i32 %43']
11,0,br,0,"[0, 0]","['br i1 %44, label %45, label %104']"
11,0,i1,1,,['i1 %44']
12,0,store,0,"[0, 0]","['store i32 0, i32* %9, align 4']"
12,0,i32*,1,,['i32* %9']
12,0,br,0,"[0, 0]",['br label %46']
13,0,load,0,"[0, 0]","['%47 = load i32, i32* %9, align 4']"
13,0,i32*,1,,['i32* %9']
13,0,icmp,0,"[0, 0]","['%48 = icmp slt i32 %47, 12']"
13,0,i32,1,,['i32 %47']
13,0,br,0,"[0, 0]","['br i1 %48, label %49, label %100']"
13,0,i1,1,,['i1 %48']
14,0,load,0,"[0, 0]","['%50 = load i32, i32* %6, align 4']"
14,0,i32*,1,,['i32* %6']
14,0,sext,0,"[0, 0]",['%51 = sext i32 %50 to i64']
14,0,i32,1,,['i32 %50']
14,0,getelementptr,0,"[0, 0]","['%52 = getelementptr inbounds [64 x [3 x [3 x [12 x float]]]], [64 x [3 x [3 x [12 x float]]]]* @w, i64 0, i64 %51']"
14,0,i64,1,,['i64 %51']
14,0,load,0,"[0, 0]","['%53 = load i32, i32* %7, align 4']"
14,0,i32*,1,,['i32* %7']
14,0,sext,0,"[0, 0]",['%54 = sext i32 %53 to i64']
14,0,i32,1,,['i32 %53']
14,0,getelementptr,0,"[0, 0]","['%55 = getelementptr inbounds [3 x [3 x [12 x float]]], [3 x [3 x [12 x float]]]* %52, i64 0, i64 %54']"
14,0,[3 x [3 x [12 x float]]]*,1,,['[3 x [3 x [12 x float]]]* %52']
14,0,i64,1,,['i64 %54']
14,0,load,0,"[0, 0]","['%56 = load i32, i32* %8, align 4']"
14,0,i32*,1,,['i32* %8']
14,0,sext,0,"[0, 0]",['%57 = sext i32 %56 to i64']
14,0,i32,1,,['i32 %56']
14,0,getelementptr,0,"[0, 0]","['%58 = getelementptr inbounds [3 x [12 x float]], [3 x [12 x float]]* %55, i64 0, i64 %57']"
14,0,[3 x [12 x float]]*,1,,['[3 x [12 x float]]* %55']
14,0,i64,1,,['i64 %57']
14,0,load,0,"[0, 0]","['%59 = load i32, i32* %9, align 4']"
14,0,i32*,1,,['i32* %9']
14,0,sext,0,"[0, 0]",['%60 = sext i32 %59 to i64']
14,0,i32,1,,['i32 %59']
14,0,getelementptr,0,"[0, 0]","['%61 = getelementptr inbounds [12 x float], [12 x float]* %58, i64 0, i64 %60']"
14,0,[12 x float]*,1,,['[12 x float]* %58']
14,0,i64,1,,['i64 %60']
14,0,load,0,"[0, 0]","['%62 = load float, float* %61, align 4']"
14,0,float*,1,,['float* %61']
14,0,load,0,"[0, 0]","['%63 = load i32, i32* %3, align 4']"
14,0,i32*,1,,['i32* %3']
14,0,sext,0,"[0, 0]",['%64 = sext i32 %63 to i64']
14,0,i32,1,,['i32 %63']
14,0,getelementptr,0,"[0, 0]","['%65 = getelementptr inbounds [32 x [3 x [12 x [12 x float]]]], [32 x [3 x [12 x [12 x float]]]]* @x, i64 0, i64 %64']"
14,0,i64,1,,['i64 %64']
14,0,load,0,"[0, 0]","['%66 = load i32, i32* %4, align 4']"
14,0,i32*,1,,['i32* %4']
14,0,load,0,"[0, 0]","['%67 = load i32, i32* %7, align 4']"
14,0,i32*,1,,['i32* %7']
14,0,sub,0,"[0, 0]","['%68 = sub nsw i32 %66, %67']"
14,0,i32,1,,['i32 %66']
14,0,i32,1,,['i32 %67']
14,0,add,0,"[0, 0]","['%69 = add nsw i32 %68, 1']"
14,0,i32,1,,['i32 %68']
14,0,sext,0,"[0, 0]",['%70 = sext i32 %69 to i64']
14,0,i32,1,,['i32 %69']
14,0,getelementptr,0,"[0, 0]","['%71 = getelementptr inbounds [3 x [12 x [12 x float]]], [3 x [12 x [12 x float]]]* %65, i64 0, i64 %70']"
14,0,[3 x [12 x [12 x float]]]*,1,,['[3 x [12 x [12 x float]]]* %65']
14,0,i64,1,,['i64 %70']
14,0,load,0,"[0, 0]","['%72 = load i32, i32* %5, align 4']"
14,0,i32*,1,,['i32* %5']
14,0,load,0,"[0, 0]","['%73 = load i32, i32* %8, align 4']"
14,0,i32*,1,,['i32* %8']
14,0,sub,0,"[0, 0]","['%74 = sub nsw i32 %72, %73']"
14,0,i32,1,,['i32 %72']
14,0,i32,1,,['i32 %73']
14,0,add,0,"[0, 0]","['%75 = add nsw i32 %74, 1']"
14,0,i32,1,,['i32 %74']
14,0,sext,0,"[0, 0]",['%76 = sext i32 %75 to i64']
14,0,i32,1,,['i32 %75']
14,0,getelementptr,0,"[0, 0]","['%77 = getelementptr inbounds [12 x [12 x float]], [12 x [12 x float]]* %71, i64 0, i64 %76']"
14,0,[12 x [12 x float]]*,1,,['[12 x [12 x float]]* %71']
14,0,i64,1,,['i64 %76']
14,0,load,0,"[0, 0]","['%78 = load i32, i32* %9, align 4']"
14,0,i32*,1,,['i32* %9']
14,0,sext,0,"[0, 0]",['%79 = sext i32 %78 to i64']
14,0,i32,1,,['i32 %78']
14,0,getelementptr,0,"[0, 0]","['%80 = getelementptr inbounds [12 x float], [12 x float]* %77, i64 0, i64 %79']"
14,0,[12 x float]*,1,,['[12 x float]* %77']
14,0,i64,1,,['i64 %79']
14,0,load,0,"[0, 0]","['%81 = load float, float* %80, align 4']"
14,0,float*,1,,['float* %80']
14,0,fmul,0,"[0, 0]","['%82 = fmul float %62, %81']"
14,0,float,1,,['float %62']
14,0,float,1,,['float %81']
14,0,load,0,"[0, 0]","['%83 = load i32, i32* %3, align 4']"
14,0,i32*,1,,['i32* %3']
14,0,sext,0,"[0, 0]",['%84 = sext i32 %83 to i64']
14,0,i32,1,,['i32 %83']
14,0,getelementptr,0,"[0, 0]","['%85 = getelementptr inbounds [32 x [1 x [10 x [64 x float]]]], [32 x [1 x [10 x [64 x float]]]]* @y, i64 0, i64 %84']"
14,0,i64,1,,['i64 %84']
14,0,load,0,"[0, 0]","['%86 = load i32, i32* %4, align 4']"
14,0,i32*,1,,['i32* %4']
14,0,sext,0,"[0, 0]",['%87 = sext i32 %86 to i64']
14,0,i32,1,,['i32 %86']
14,0,getelementptr,0,"[0, 0]","['%88 = getelementptr inbounds [1 x [10 x [64 x float]]], [1 x [10 x [64 x float]]]* %85, i64 0, i64 %87']"
14,0,[1 x [10 x [64 x float]]]*,1,,['[1 x [10 x [64 x float]]]* %85']
14,0,i64,1,,['i64 %87']
14,0,load,0,"[0, 0]","['%89 = load i32, i32* %5, align 4']"
14,0,i32*,1,,['i32* %5']
14,0,sext,0,"[0, 0]",['%90 = sext i32 %89 to i64']
14,0,i32,1,,['i32 %89']
14,0,getelementptr,0,"[0, 0]","['%91 = getelementptr inbounds [10 x [64 x float]], [10 x [64 x float]]* %88, i64 0, i64 %90']"
14,0,[10 x [64 x float]]*,1,,['[10 x [64 x float]]* %88']
14,0,i64,1,,['i64 %90']
14,0,load,0,"[0, 0]","['%92 = load i32, i32* %6, align 4']"
14,0,i32*,1,,['i32* %6']
14,0,sext,0,"[0, 0]",['%93 = sext i32 %92 to i64']
14,0,i32,1,,['i32 %92']
14,0,getelementptr,0,"[0, 0]","['%94 = getelementptr inbounds [64 x float], [64 x float]* %91, i64 0, i64 %93']"
14,0,[64 x float]*,1,,['[64 x float]* %91']
14,0,i64,1,,['i64 %93']
14,0,load,0,"[0, 0]","['%95 = load float, float* %94, align 4']"
14,0,float*,1,,['float* %94']
14,0,fadd,0,"[0, 0]","['%96 = fadd float %95, %82']"
14,0,float,1,,['float %95']
14,0,float,1,,['float %82']
14,0,store,0,"[0, 0]","['store float %96, float* %94, align 4']"
14,0,float,1,,['float %96']
14,0,float*,1,,['float* %94']
14,0,br,0,"[0, 0]",['br label %97']
15,0,load,0,"[0, 0]","['%98 = load i32, i32* %9, align 4']"
15,0,i32*,1,,['i32* %9']
15,0,add,0,"[0, 0]","['%99 = add nsw i32 %98, 1']"
15,0,i32,1,,['i32 %98']
15,0,store,0,"[0, 0]","['store i32 %99, i32* %9, align 4']"
15,0,i32,1,,['i32 %99']
15,0,i32*,1,,['i32* %9']
15,0,br,0,"[0, 0]",['br label %46']
16,0,br,0,"[0, 0]",['br label %101']
17,0,load,0,"[0, 0]","['%102 = load i32, i32* %8, align 4']"
17,0,i32*,1,,['i32* %8']
17,0,add,0,"[0, 0]","['%103 = add nsw i32 %102, 1']"
17,0,i32,1,,['i32 %102']
17,0,store,0,"[0, 0]","['store i32 %103, i32* %8, align 4']"
17,0,i32,1,,['i32 %103']
17,0,i32*,1,,['i32* %8']
17,0,br,0,"[0, 0]",['br label %42']
18,0,br,0,"[0, 0]",['br label %105']
19,0,load,0,"[0, 0]","['%106 = load i32, i32* %7, align 4']"
19,0,i32*,1,,['i32* %7']
19,0,add,0,"[0, 0]","['%107 = add nsw i32 %106, 1']"
19,0,i32,1,,['i32 %106']
19,0,store,0,"[0, 0]","['store i32 %107, i32* %7, align 4']"
19,0,i32,1,,['i32 %107']
19,0,i32*,1,,['i32* %7']
19,0,br,0,"[0, 0]",['br label %38']
20,0,br,0,"[0, 0]",['br label %109']
21,0,load,0,"[0, 0]","['%110 = load i32, i32* %6, align 4']"
21,0,i32*,1,,['i32* %6']
21,0,add,0,"[0, 0]","['%111 = add nsw i32 %110, 1']"
21,0,i32,1,,['i32 %110']
21,0,store,0,"[0, 0]","['store i32 %111, i32* %6, align 4']"
21,0,i32,1,,['i32 %111']
21,0,i32*,1,,['i32* %6']
21,0,br,0,"[0, 0]",['br label %22']
22,0,br,0,"[0, 0]",['br label %113']
23,0,load,0,"[0, 0]","['%114 = load i32, i32* %5, align 4']"
23,0,i32*,1,,['i32* %5']
23,0,add,0,"[0, 0]","['%115 = add nsw i32 %114, 1']"
23,0,i32,1,,['i32 %114']
23,0,store,0,"[0, 0]","['store i32 %115, i32* %5, align 4']"
23,0,i32,1,,['i32 %115']
23,0,i32*,1,,['i32* %5']
23,0,br,0,"[0, 0]",['br label %18']
24,0,br,0,"[0, 0]",['br label %117']
25,0,load,0,"[0, 0]","['%118 = load i32, i32* %4, align 4']"
25,0,i32*,1,,['i32* %4']
25,0,add,0,"[0, 0]","['%119 = add nsw i32 %118, 1']"
25,0,i32,1,,['i32 %118']
25,0,store,0,"[0, 0]","['store i32 %119, i32* %4, align 4']"
25,0,i32,1,,['i32 %119']
25,0,i32*,1,,['i32* %4']
25,0,br,0,"[0, 0]",['br label %14']
26,0,br,0,"[0, 0]",['br label %121']
27,0,load,0,"[0, 0]","['%122 = load i32, i32* %3, align 4']"
27,0,i32*,1,,['i32* %3']
27,0,add,0,"[0, 0]","['%123 = add nsw i32 %122, 1']"
27,0,i32,1,,['i32 %122']
27,0,store,0,"[0, 0]","['store i32 %123, i32* %3, align 4']"
27,0,i32,1,,['i32 %123']
27,0,i32*,1,,['i32* %3']
27,0,br,0,"[0, 0]",['br label %10']
28,0,load,0,"[0, 0]","['%125 = load float, float* getelementptr inbounds ([32 x [1 x [10 x [64 x float]]]], [32 x [1 x [10 x [64 x float]]]]* @y, i64 0, i64 31, i64 0, i64 9, i64 63), align 4']"
28,0,fptosi,0,"[0, 0]",['%126 = fptosi float %125 to i32']
28,0,float,1,,['float %125']
28,0,load,0,"[0, 0]","['%127 = load i32*, i32** %2, align 8']"
28,0,i32**,1,,['i32** %2']
28,0,store,0,"[0, 0]","['store i32 %126, i32* %127, align 4']"
28,0,i32,1,,['i32 %126']
28,0,i32*,1,,['i32* %127']
28,0,ret,0,"[0, 0]",['ret void']
29,0,i32*,1,,['i32* %0']
29,1,alloca,0,"[0, 0]","['%3 = alloca i32, align 4']"
29,1,alloca,0,"[0, 0]","['%4 = alloca i32, align 4']"
29,1,alloca,0,"[0, 0]","['%5 = alloca i8**, align 8']"
29,1,alloca,0,"[0, 0]","['%6 = alloca i32, align 4']"
29,1,alloca,0,"[0, 0]","['%7 = alloca %struct.timeval, align 8']"
29,1,alloca,0,"[0, 0]","['%8 = alloca %struct.timeval, align 8']"
29,1,alloca,0,"[0, 0]","['%9 = alloca i32, align 4']"
29,1,alloca,0,"[0, 0]","['%10 = alloca i32, align 4']"
29,1,alloca,0,"[0, 0]","['%11 = alloca i64, align 8']"
29,1,alloca,0,"[0, 0]","['%12 = alloca i64, align 8']"
29,1,alloca,0,"[0, 0]","['%13 = alloca i64, align 8']"
29,1,store,0,"[0, 0]","['store i32 0, i32* %3, align 4']"
29,1,i32*,1,,['i32* %3']
29,1,store,0,"[0, 0]","['store i32 %0, i32* %4, align 4']"
29,1,i32*,1,,['i32* %4']
29,1,store,0,"[0, 0]","['store i8** %1, i8*** %5, align 8']"
29,1,i8***,1,,['i8*** %5']
29,1,store,0,"[0, 0]","['store i32 0, i32* %6, align 4']"
29,1,i32*,1,,['i32* %6']
29,1,call,0,"[0, 0]",['call void @conv2d(i32* %6)']
29,1,i32*,1,,['i32* %6']
29,1,call,0,"[0, 0]","['%14 = call i32 @gettimeofday(%struct.timeval* %7, %struct.timezone* null) #3']"
29,1,struct*,1,,['struct* %7']
29,1,store,0,"[0, 0]","['store i32 0, i32* %9, align 4']"
29,1,i32*,1,,['i32* %9']
29,1,br,0,"[0, 0]",['br label %15']
30,1,load,0,"[0, 0]","['%16 = load i32, i32* %9, align 4']"
30,1,i32*,1,,['i32* %9']
30,1,icmp,0,"[0, 0]","['%17 = icmp slt i32 %16, 100']"
30,1,i32,1,,['i32 %16']
30,1,br,0,"[0, 0]","['br i1 %17, label %18, label %22']"
30,1,i1,1,,['i1 %17']
31,1,call,0,"[0, 0]",['call void @conv2d(i32* %6)']
31,1,i32*,1,,['i32* %6']
31,1,br,0,"[0, 0]",['br label %19']
32,1,load,0,"[0, 0]","['%20 = load i32, i32* %9, align 4']"
32,1,i32*,1,,['i32* %9']
32,1,add,0,"[0, 0]","['%21 = add nsw i32 %20, 1']"
32,1,i32,1,,['i32 %20']
32,1,store,0,"[0, 0]","['store i32 %21, i32* %9, align 4']"
32,1,i32,1,,['i32 %21']
32,1,i32*,1,,['i32* %9']
32,1,br,0,"[0, 0]",['br label %15']
33,1,call,0,"[0, 0]","['%23 = call i32 @gettimeofday(%struct.timeval* %8, %struct.timezone* null) #3']"
33,1,struct*,1,,['struct* %8']
33,1,load,0,"[0, 0]","['%24 = load i32, i32* %6, align 4']"
33,1,i32*,1,,['i32* %6']
33,1,store,0,"[0, 0]","['store i32 %24, i32* %10, align 4']"
33,1,i32,1,,['i32 %24']
33,1,i32*,1,,['i32* %10']
33,1,getelementptr,0,"[0, 0]","['%25 = getelementptr inbounds %struct.timeval, %struct.timeval* %8, i32 0, i32 0']"
33,1,struct*,1,,['struct* %8']
33,1,load,0,"[0, 0]","['%26 = load i64, i64* %25, align 8']"
33,1,i64*,1,,['i64* %25']
33,1,getelementptr,0,"[0, 0]","['%27 = getelementptr inbounds %struct.timeval, %struct.timeval* %7, i32 0, i32 0']"
33,1,struct*,1,,['struct* %7']
33,1,load,0,"[0, 0]","['%28 = load i64, i64* %27, align 8']"
33,1,i64*,1,,['i64* %27']
33,1,sub,0,"[0, 0]","['%29 = sub nsw i64 %26, %28']"
33,1,i64,1,,['i64 %26']
33,1,i64,1,,['i64 %28']
33,1,store,0,"[0, 0]","['store i64 %29, i64* %12, align 8']"
33,1,i64,1,,['i64 %29']
33,1,i64*,1,,['i64* %12']
33,1,getelementptr,0,"[0, 0]","['%30 = getelementptr inbounds %struct.timeval, %struct.timeval* %8, i32 0, i32 1']"
33,1,struct*,1,,['struct* %8']
33,1,load,0,"[0, 0]","['%31 = load i64, i64* %30, align 8']"
33,1,i64*,1,,['i64* %30']
33,1,getelementptr,0,"[0, 0]","['%32 = getelementptr inbounds %struct.timeval, %struct.timeval* %7, i32 0, i32 1']"
33,1,struct*,1,,['struct* %7']
33,1,load,0,"[0, 0]","['%33 = load i64, i64* %32, align 8']"
33,1,i64*,1,,['i64* %32']
33,1,sub,0,"[0, 0]","['%34 = sub nsw i64 %31, %33']"
33,1,i64,1,,['i64 %31']
33,1,i64,1,,['i64 %33']
33,1,store,0,"[0, 0]","['store i64 %34, i64* %13, align 8']"
33,1,i64,1,,['i64 %34']
33,1,i64*,1,,['i64* %13']
33,1,load,0,"[0, 0]","['%35 = load i64, i64* %12, align 8']"
33,1,i64*,1,,['i64* %12']
33,1,mul,0,"[0, 0]","['%36 = mul nsw i64 %35, 1000']"
33,1,i64,1,,['i64 %35']
33,1,sitofp,0,"[0, 0]",['%37 = sitofp i64 %36 to double']
33,1,i64,1,,['i64 %36']
33,1,load,0,"[0, 0]","['%38 = load i64, i64* %13, align 8']"
33,1,i64*,1,,['i64* %13']
33,1,sitofp,0,"[0, 0]",['%39 = sitofp i64 %38 to double']
33,1,i64,1,,['i64 %38']
33,1,fdiv,0,"[0, 0]","['%40 = fdiv double %39, 1.000000e+03']"
33,1,double,1,,['double %39']
33,1,fadd,0,"[0, 0]","['%41 = fadd double %37, %40']"
33,1,double,1,,['double %37']
33,1,double,1,,['double %40']
33,1,fadd,0,"[0, 0]","['%42 = fadd double %41, 5.000000e-01']"
33,1,double,1,,['double %41']
33,1,fptosi,0,"[0, 0]",['%43 = fptosi double %42 to i64']
33,1,double,1,,['double %42']
33,1,store,0,"[0, 0]","['store i64 %43, i64* %11, align 8']"
33,1,i64,1,,['i64 %43']
33,1,i64*,1,,['i64* %11']
33,1,load,0,"[0, 0]","['%44 = load i64, i64* %11, align 8']"
33,1,i64*,1,,['i64* %11']
33,1,call,0,"[0, 0]","['%45 = call i32 (i8*, ...) @printf(i8* getelementptr inbounds ([4 x i8], [4 x i8]* @.str, i64 0, i64 0), i64 %44)']"
33,1,i64,1,,['i64 %44']
33,1,ret,0,"[0, 0]",['ret i32 0']
34,1,i8**,1,,['i8** %1']
34,1,i32,1,,['i32 %0']
0,2,; undefined function,0,,['']
0,3,; undefined function,0,,['']
34,0,float,2,,['float 0.000000e+00']
34,0,i64,2,,['i64 1000']
34,0,double,2,,['double 1.000000e+03']
34,0,i64,2,,['i64 0']
34,0,float*,2,,"['float* getelementptr inbounds ([32 x [1 x [10 x [64 x float]]]], [32 x [1 x [10 x [64 x float]]]]* @y, i64 0, i64 31, i64 0, i64 9, i64 63)']"
34,0,i32,2,,['i32 1']
34,0,i32,2,,['i32 32']
34,0,i32,2,,['i32 0']
34,0,[32 x [3 x [12 x [12 x float]]]]*,2,,"['@x = common dso_local global [32 x [3 x [12 x [12 x float]]]] zeroinitializer, align 16']"
34,0,i32,2,,['i32 64']
34,0,[64 x [3 x [3 x [12 x float]]]]*,2,,"['@w = common dso_local global [64 x [3 x [3 x [12 x float]]]] zeroinitializer, align 16']"
34,0,i32,2,,['i32 100']
34,0,i32,2,,['i32 10']
34,0,[32 x [1 x [10 x [64 x float]]]]*,2,,"['@y = common dso_local global [32 x [1 x [10 x [64 x float]]]] zeroinitializer, align 16']"
34,0,i32,2,,['i32 3']
34,0,struct*,2,,['%struct.timezone* null']
34,0,i32,2,,['i32 12']
34,0,double,2,,['double 5.000000e-01']
34,0,i8*,2,,"['i8* getelementptr inbounds ([4 x i8], [4 x i8]* @.str, i64 0, i64 0)']"
