BenchmarkName, State, Action, PrevActions, Reward
benchmark://poj104-small-v0/1_79,1690215.0 1312504.0 0.65 1773427.0 0.0 0.0 0.0 0.55 0.0 0.0 0.0 61.0 61.0 27363.0 117226.0 23194.0 767188.0 12943.0 7280.0 478621.0 363361.0 9588.0 9588.0 363415.0 1058.0 5148.0 125.0 24.0,-hotcoldsplit,-canonicalize-aliases -loop-vectorize -guard-widening -sink -gvn -newgvn -inline -loop-sink -early-cse-memssa -early-cse -loop-unroll -coro-split -correlated-propagation -always-inline -loop-simplifycfg -div-rem-pairs -loop-fusion -partial-inliner -instcombine -coro-early -barrier,-0.15385977972563536
benchmark://poj104-small-v0/1_79,1730383.0 1461254.0 0.74 1769783.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 61.0 61.0 27249.0 118291.0 23853.0 773841.0 13346.0 7495.0 433072.0 363756.0 9598.0 9598.0 363810.0 1080.0 5134.0 124.0 19.0,-hotcoldsplit,-canonicalize-aliases -loop-vectorize -guard-widening -sink -gvn -newgvn -inline -loop-sink -early-cse-memssa -early-cse -loop-unroll -coro-split -correlated-propagation -always-inline -loop-simplifycfg -div-rem-pairs -loop-fusion -partial-inliner -instcombine -coro-early -barrier -hotcoldsplit,-0.11782525085644886
benchmark://poj104-small-v0/1_79,1843544.0 1029950.0 0.55 1774506.0 0.0 0.0 0.0 0.53 0.0 0.0 0.0 61.0 61.0 29138.0 119660.0 23854.0 769061.0 13206.0 6860.0 430033.0 370469.0 8511.0 8511.0 370523.0 1027.0 5788.0 126.0 15.0,-instcombine,-canonicalize-aliases -loop-vectorize -guard-widening -sink -gvn -newgvn -inline -loop-sink -early-cse-memssa -early-cse -loop-unroll -coro-split -correlated-propagation -always-inline -loop-simplifycfg -div-rem-pairs -loop-fusion -partial-inliner -instcombine -coro-early -barrier -hotcoldsplit -hotcoldsplit,0.001101603374159615
benchmark://poj104-small-v0/1_79,1821410.0 1335883.0 0.63 1764566.0 0.0 0.0 0.0 0.63 0.0 0.0 0.0 61.0 61.0 27485.0 117212.0 24136.0 772798.0 13248.0 7710.0 431212.0 363816.0 9526.0 9526.0 363870.0 1125.0 4872.0 123.0 20.0,-separate-const-offset-from-gep,-canonicalize-aliases -loop-vectorize -guard-widening -sink -gvn -newgvn -inline -loop-sink -early-cse-memssa -early-cse -loop-unroll -coro-split -correlated-propagation -always-inline -loop-simplifycfg -div-rem-pairs -loop-fusion -partial-inliner -instcombine -coro-early -barrier -hotcoldsplit -hotcoldsplit -instcombine,-1.499672934363426
benchmark://poj104-small-v0/2_5,1894735.0 1208402.0 0.57 1734128.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 64.0 64.0 29651.0 125097.0 17681.0 746034.0 5649.0 7652.0 431663.0 355448.0 9196.0 9196.0 355502.0 1189.0 5061.0 125.0 21.0,-bdce,-newgvn -adce -speculative-execution -loop-guard-widening -loop-predication -barrier -loweratomic -dce -instnamer -lower-matrix-intrinsics -slsr -loop-interchange -libcalls-shrinkwrap -coro-elide -lower-guard-intrinsic,-0.0480818711248337
benchmark://poj104-small-v0/2_5,1891016.0 1039230.0 0.57 1734436.0 0.0 0.0 0.0 0.6 0.0 0.0 0.0 64.0 64.0 29045.0 123330.0 17803.0 743502.0 5350.0 7244.0 423711.0 353451.0 8926.0 8926.0 353505.0 1215.0 5135.0 126.0 32.0,-indvars,-newgvn -adce -speculative-execution -loop-guard-widening -loop-predication -barrier -loweratomic -dce -instnamer -lower-matrix-intrinsics -slsr -loop-interchange -libcalls-shrinkwrap -coro-elide -lower-guard-intrinsic -bdce,-0.023187196157675862
benchmark://poj104-small-v0/2_5,2062912.0 1125862.0 0.62 1737825.0 0.0 0.0 0.0 0.58 0.0 0.0 0.0 64.0 64.0 27109.0 103617.0 23787.0 742124.0 13076.0 7582.0 430200.0 354472.0 9004.0 9004.0 354526.0 1255.0 5242.0 125.0 18.0,-instnamer,-newgvn -adce -speculative-execution -loop-guard-widening -loop-predication -barrier -loweratomic -dce -instnamer -lower-matrix-intrinsics -slsr -loop-interchange -libcalls-shrinkwrap -coro-elide -lower-guard-intrinsic -bdce -indvars,0.03925736961451247
benchmark://poj104-small-v0/2_5,2064937.0 1730757.0 0.62 1730468.0 0.0 0.0 0.0 0.62 0.0 0.0 0.0 64.0 64.0 28597.0 125350.0 23875.0 742693.0 13266.0 7428.0 431237.0 355911.0 9170.0 9170.0 355965.0 1198.0 5051.0 125.0 22.0,-loop-simplifycfg,-newgvn -adce -speculative-execution -loop-guard-widening -loop-predication -barrier -loweratomic -dce -instnamer -lower-matrix-intrinsics -slsr -loop-interchange -libcalls-shrinkwrap -coro-elide -lower-guard-intrinsic -bdce -indvars -instnamer,-0.10403592556333727
benchmark://poj104-small-v0/2_5,2135238.0 1222742.0 0.64 1762222.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 64.0 64.0 28785.0 125061.0 18732.0 747263.0 6756.0 7907.0 433684.0 354319.0 9033.0 9033.0 354373.0 1188.0 5056.0 127.0 21.0,-early-cse-memssa,-loop-vectorize -loop-versioning -strip -correlated-propagation -loop-deletion -indvars -globaldce -irce -constmerge,-0.06500918325509786
benchmark://poj104-small-v0/2_5,2107551.0 1259613.0 0.63 1731758.0 0.0 0.0 0.0 0.8 0.0 0.0 0.0 64.0 64.0 27658.0 96007.0 24165.0 743189.0 13083.0 7644.0 431533.0 356575.0 8512.0 8512.0 356629.0 1047.0 5026.0 125.0 25.0,-strip-dead-prototypes,-loop-vectorize -loop-versioning -strip -correlated-propagation -loop-deletion -indvars -globaldce -irce -constmerge -early-cse-memssa,0.00781779501468484
benchmark://poj104-small-v0/2_5,2233970.0 1344884.0 0.67 1734561.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 64.0 64.0 27258.0 122080.0 19886.0 747238.0 7805.0 7827.0 439579.0 353994.0 9074.0 9074.0 354048.0 1132.0 4942.0 126.0 28.0,-loop-simplify,-loop-vectorize -loop-versioning -strip -correlated-propagation -loop-deletion -indvars -globaldce -irce -constmerge -early-cse-memssa -strip-dead-prototypes,-0.11071208926374979
benchmark://poj104-small-v0/2_5,2423414.0 1524535.0 0.73 1738666.0 0.0 0.0 0.0 0.63 0.0 0.0 0.0 64.0 64.0 27144.0 121510.0 18336.0 754099.0 5693.0 7899.0 441708.0 355071.0 9167.0 9167.0 355125.0 1115.0 5984.0 126.0 19.0,-called-value-propagation,-loop-vectorize -loop-versioning -strip -correlated-propagation -loop-deletion -indvars -globaldce -irce -constmerge -early-cse-memssa -strip-dead-prototypes -loop-simplify,-0.20772251089857838
